CompName,id
W600,W600
1I00,1I00
1K00,1K00
1L00,1L00
1M00,1M00
CHETD,CHETD
2F00,2F00
AETRD,AETRD
2100,2100
6700,6700
7300,7300
W100,W100
3F00,3F00
2D00,2D00
RURNM,RURNM
7M00,7M00
RUBMU,RUBMU
2N00,2N00
RUTRU,RUTRU
TE10,TE10
TE20,TE20
TE30,TE30
TE40,TE40
TS10,TS10
TS20,TS20
TS30,TS30
RUAIM,RUAIM
LRIRM,LRIRM
RUTKU,RUTKU
SGEAA,SGEAA
RUMKK,RUMKK
MDAGR,MDAGR
MXEAM,MXEAM
RUESM,RUESM
RUDNM,RUDNM
RUDKR,RUDKR
TREAF,TREAF
UAAGR,UAAGR
IEFIN,IEFIN
RUTOM,RUTOM
RUTON,RUTON
KZKAM,KZKAM
RUZEL,RUZEL
LRTES,LRTES
LTEBL,LTEBL
KZUDB,KZUDB
RUGPH,RUGPH
BCS-7J00,BCS-7J00
BCS-7R00,BCS-7R00
KZSTS,KZSTS
KZAGR,KZAGR
CHEAG,CHEAG
CHTRD,CHTRD
CNEAT,CNEAT
CYHAR,CYHAR
RUDLI,RUDLI
RUORF,RUORF
PLAGR,PLAGR
RUMGT,RUMGT
BEANF,BEANF
FREAF,FREAF
BCS-1J01,BCS-1J01
BCS-7B00,BCS-7B00
RSAGR,RSAGR
USBFC,USBFC
USEUS,USEUS
KZGER,KZGER
RUPTS,RUPTS
AENDT,AENDT
AEKBU,AEKBU
USTRD,USTRD
RUTKK,RUTKK
RUDOR,RUDOR
BGAGR,BGAGR
BRFTO,BRFTO
BCS-SG7001,BCS-SG7001
KZKRT,KZKRT
RUVOS,RUVOS
RUDNE,RUDNE
ITEAG,ITEAG
DEEAG,DEEAG
NLAGH,NLAGH
AREFO,AREFO
LTLIF,LTLIF
GREAH,GREAH
RUDVO,RUDVO
NLEIH,NLEIH
HUAGR,HUAGR
LULAT,LULAT
ESEAI,ESEAI
RUSPK,RUSPK
RUTBN,RUTBN
BCS-1Q01,BCS-1Q01
UADEX,UADEX
ILPRO,ILPRO
AEMNG,AEMNG
RUBND,RUSBO
"ООО ""Управление по буровзрывным работам""",4U00
ООО "Германий и приложения",BCS-1J01
АО ГХК "Ушгер",KZUSH
ТОО "ЕвроХим-Удобрения",KZUDB
ТОО "Герес-Удобрения",KZGER
ООО "РУСБОНД-ЕВРОХИМ",RUSBO
ООО"ЕвроХим Трейдинг Рус",RUESM
ООО "ЕВРОХИМ ТРАКС",RUTRU
ООО "Тонус-плюс",RUTON
ООО "СП Ковдорский",RUSPK
(удален)ООО "Урал-ремстройсервис",RURBZ
EUROCHEM COMERCIO DE PRODUTOS,BRCPQ
EUROCHEM COMERCIO DE PRODUTOS QUIMI,BRCPQ
EuroChem Finance Designated Activity Company,IEFIN
EUROCHEM LOUISIANA LLC,USELO
FERTILIZANTES TOCANTINS S/A,BRFTO
SUEK RU,1100
(удален) ООО "Черновский РМЗ",3900
АО "Ургалуголь" Разрез Правобережный",6700
FERTILIZANTES HERINGER SA,BRHRG
FERTILIZANTES HERINGER S A,BRHRG
